,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
561,,,90,40.0,13.0,2.68,0.5,1.11,88.0,36.0,5.0,25.5,2.1
562,,,90,40.0,11.2,2.44,0.5,0.83,103.0,36.0,5.0,29.8,2.52
563,,,90,40.0,11.2,2.44,0.5,1.0,102.0,36.0,5.0,27.8,2.18
564,,,90,40.0,11.2,2.44,0.5,1.11,102.0,36.0,5.0,26.9,1.95
565,,,28,80.0,10.8,2.42,0.45,0.64,98.0,30.0,33.0,28.8,1.71
566,,,28,80.0,12.4,2.57,0.45,0.64,95.0,31.0,40.0,30.6,1.99
567,,,28,120.0,10.8,2.42,0.55,0.92,88.0,27.0,42.0,14.7,1.1
568,,,28,120.0,12.4,2.57,0.55,0.92,85.0,28.0,45.0,20.2,1.43
569,,,90,80.0,10.8,2.42,0.45,0.64,98.0,30.0,33.0,41.3,2.33
570,,,90,80.0,12.4,2.57,0.45,0.64,95.0,31.0,40.0,44.0,3.0
571,,,90,120.0,10.8,2.42,0.55,0.92,88.0,27.0,42.0,24.8,1.8
572,,,90,120.0,12.4,2.57,0.55,0.92,85.0,28.0,45.0,30.9,2.26
573,62.4,8.4,7,40.0,11.9,2.86,0.5,0.83,88.0,,5.0,15.5,0.79
574,62.4,8.4,7,40.0,11.9,2.86,0.5,1.0,88.0,,5.0,11.9,0.72
575,62.4,8.4,7,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,9.3,0.61
576,62.4,8.4,7,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,7.5,0.6
577,62.4,8.4,7,40.0,11.9,2.86,0.5,1.25,88.0,,5.0,7.8,0.47
578,62.4,8.4,7,40.0,11.9,2.86,0.5,1.43,88.0,,5.0,5.8,0.46
579,62.4,8.4,7,40.0,6.1,2.92,0.5,0.83,102.0,,5.0,11.6,0.9
580,62.4,8.4,7,40.0,6.1,2.92,0.5,1.0,102.0,,5.0,9.2,0.72
581,62.4,8.4,7,40.0,6.1,2.92,0.5,1.11,102.0,,5.0,7.8,0.65
582,62.4,8.4,7,60.0,11.9,2.86,0.5,0.83,75.0,,5.0,14.0,1.18
583,62.4,8.4,7,60.0,11.9,2.86,0.5,1.0,75.0,,5.0,12.5,0.84
584,62.4,8.4,7,60.0,11.9,2.86,0.5,1.11,75.0,,5.0,9.2,0.62
585,62.4,8.4,7,60.0,11.9,2.86,0.5,1.25,75.0,,5.0,8.3,0.57
586,62.4,8.4,7,60.0,11.9,2.86,0.5,1.43,75.0,,5.0,6.9,0.56
587,62.4,8.4,7,80.0,11.9,2.86,0.5,0.83,71.0,,5.0,15.2,0.96
588,62.4,8.4,7,80.0,11.9,2.86,0.5,1.0,71.0,,5.0,12.9,0.86
589,62.4,8.4,7,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,10.3,0.65
590,62.4,8.4,7,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,9.0,0.64
591,62.4,8.4,7,80.0,11.9,2.86,0.5,1.25,71.0,,5.0,7.4,0.52
592,62.4,8.4,7,80.0,11.9,2.86,0.5,1.43,71.0,,5.0,4.8,0.35
593,62.4,8.4,7,80.0,6.1,2.92,0.5,0.83,82.0,,5.0,12.4,0.96
594,62.4,8.4,7,80.0,6.1,2.92,0.5,1.0,82.0,,5.0,9.2,0.72
595,62.4,8.4,7,80.0,6.1,2.92,0.5,1.11,82.0,,5.0,6.8,0.55
596,62.4,8.4,7,80.0,6.1,2.92,0.5,1.25,82.0,,5.0,6.5,0.54
597,62.4,8.4,7,80.0,6.1,2.92,0.5,1.43,82.0,,5.0,6.8,0.54
598,62.4,8.4,28,40.0,11.9,2.86,0.5,0.83,88.0,,5.0,23.6,2.04
599,62.4,8.4,28,40.0,11.9,2.86,0.5,1.0,88.0,,5.0,21.5,1.8
600,62.4,8.4,28,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,19.9,1.62
601,62.4,8.4,28,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,13.2,1.13
602,62.4,8.4,28,40.0,11.9,2.86,0.5,1.25,88.0,,5.0,15.9,1.4
603,62.4,8.4,28,40.0,11.9,2.86,0.5,1.43,88.0,,5.0,11.3,1.08
604,62.4,8.4,28,40.0,6.1,2.92,0.5,0.83,102.0,,5.0,21.6,1.96
605,62.4,8.4,28,40.0,6.1,2.92,0.5,1.0,102.0,,5.0,20.0,1.69
606,62.4,8.4,28,40.0,6.1,2.92,0.5,1.11,102.0,,5.0,18.5,1.53
607,62.4,8.4,28,60.0,11.9,2.86,0.5,0.83,75.0,,5.0,24.5,2.18
608,62.4,8.4,28,60.0,11.9,2.86,0.5,1.0,75.0,,5.0,21.4,1.63
609,62.4,8.4,28,60.0,11.9,2.86,0.5,1.11,75.0,,5.0,19.6,1.26
610,62.4,8.4,28,60.0,11.9,2.86,0.5,1.25,75.0,,5.0,16.9,1.09
611,62.4,8.4,28,60.0,11.9,2.86,0.5,1.43,75.0,,5.0,13.2,1.02
612,62.4,8.4,28,80.0,11.9,2.86,0.5,0.83,71.0,,5.0,24.1,2.1
613,62.4,8.4,28,80.0,11.9,2.86,0.5,1.0,71.0,,5.0,21.5,1.8
614,62.4,8.4,28,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,20.1,1.6
615,62.4,8.4,28,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,16.2,1.46
616,62.4,8.4,28,80.0,11.9,2.86,0.5,1.25,71.0,,5.0,14.9,1.45
617,62.4,8.4,28,80.0,11.9,2.86,0.5,1.43,71.0,,5.0,10.1,1.08
618,62.4,8.4,28,80.0,6.1,2.92,0.5,0.83,82.0,,5.0,21.8,1.92
619,62.4,8.4,28,80.0,6.1,2.92,0.5,1.0,82.0,,5.0,18.9,1.42
620,62.4,8.4,28,80.0,6.1,2.92,0.5,1.11,82.0,,5.0,14.0,1.06
621,62.4,8.4,28,80.0,6.1,2.92,0.5,1.25,82.0,,5.0,13.5,1.11
622,62.4,8.4,28,80.0,6.1,2.92,0.5,1.43,82.0,,5.0,12.9,1.16
623,62.4,8.4,90,40.0,11.9,2.86,0.5,0.83,88.0,,5.0,32.8,2.2
624,62.4,8.4,90,40.0,11.9,2.86,0.5,1.0,88.0,,5.0,28.0,2.12
625,62.4,8.4,90,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,25.5,2.1
626,62.4,8.4,90,40.0,11.9,2.86,0.5,1.11,88.0,,5.0,24.4,2.09
627,62.4,8.4,90,40.0,11.9,2.86,0.5,1.25,88.0,,5.0,22.9,2.05
628,62.4,8.4,90,40.0,11.9,2.86,0.5,1.43,88.0,,5.0,20.8,1.99
629,62.4,8.4,90,40.0,6.1,2.92,0.5,0.83,102.0,,5.0,29.8,2.52
630,62.4,8.4,90,40.0,6.1,2.92,0.5,1.0,102.0,,5.0,27.8,2.18
631,62.4,8.4,90,40.0,6.1,2.92,0.5,1.11,102.0,,5.0,26.9,1.95
632,62.4,8.4,90,60.0,11.9,2.86,0.5,0.83,75.0,,5.0,34.6,2.88
633,62.4,8.4,90,60.0,11.9,2.86,0.5,1.0,75.0,,5.0,27.9,2.29
634,62.4,8.4,90,60.0,11.9,2.86,0.5,1.11,75.0,,5.0,24.3,2.08
635,62.4,8.4,90,60.0,11.9,2.86,0.5,1.25,75.0,,5.0,23.5,1.93
636,62.4,8.4,90,60.0,11.9,2.86,0.5,1.43,75.0,,5.0,22.5,1.8
637,62.4,8.4,90,80.0,11.9,2.86,0.5,0.83,71.0,,5.0,33.4,2.45
638,62.4,8.4,90,80.0,11.9,2.86,0.5,1.0,71.0,,5.0,30.1,2.2
639,62.4,8.4,90,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,29.1,2.13
640,62.4,8.4,90,80.0,11.9,2.86,0.5,1.11,71.0,,5.0,21.5,1.9
641,62.4,8.4,90,80.0,11.9,2.86,0.5,1.25,71.0,,5.0,20.2,2.05
642,62.4,8.4,90,80.0,11.9,2.86,0.5,1.43,71.0,,5.0,17.5,1.87
643,62.4,8.4,90,80.0,6.1,2.92,0.5,0.83,82.0,,5.0,30.2,2.49
644,62.4,8.4,90,80.0,6.1,2.92,0.5,1.0,82.0,,5.0,28.2,2.21
645,62.4,8.4,90,80.0,6.1,2.92,0.5,1.11,82.0,,5.0,27.7,2.1
646,62.4,8.4,90,80.0,6.1,2.92,0.5,1.25,82.0,,5.0,27.0,2.01
647,62.4,8.4,90,80.0,6.1,2.92,0.5,1.43,82.0,,5.0,26.5,2.0
648,,,7,80.0,6.0,2.68,0.5,0.67,104.0,30.0,50.0,15.2,1.44
649,,,7,80.0,9.0,2.68,0.5,0.67,112.0,30.0,48.0,15.2,1.56
650,,,7,80.0,12.0,2.68,0.5,0.67,114.0,30.0,50.0,16.4,1.59
651,,,7,80.0,15.0,2.68,0.5,0.67,115.0,30.0,40.0,18.5,1.5
652,,,7,80.0,18.0,2.68,0.5,0.67,117.0,30.0,44.0,16.2,1.62
653,,,7,80.0,15.0,2.68,0.5,0.67,110.0,30.0,36.0,18.2,1.7
654,,,7,80.0,15.0,2.68,0.5,0.67,108.0,30.0,49.0,15.8,1.58
655,,,7,80.0,9.0,2.68,0.5,,111.0,30.0,41.0,16.6,1.54
656,,,7,80.0,6.0,2.68,0.5,,112.0,30.0,50.0,17.2,1.58
657,,,28,80.0,6.0,2.68,0.5,0.67,104.0,30.0,50.0,22.6,2.49
658,,,28,80.0,9.0,2.68,0.5,0.67,112.0,30.0,48.0,26.2,2.33
659,,,28,80.0,12.0,2.68,0.5,0.67,114.0,30.0,50.0,24.2,2.36
660,,,28,80.0,15.0,2.68,0.5,0.67,115.0,30.0,40.0,27.3,2.75
661,,,28,80.0,18.0,2.68,0.5,0.67,117.0,30.0,44.0,26.7,2.76
662,,,28,80.0,15.0,2.68,0.5,0.67,110.0,30.0,36.0,26.5,2.48
663,,,28,80.0,15.0,2.68,0.5,0.67,108.0,30.0,49.0,23.1,2.27
664,,,28,80.0,9.0,2.68,0.5,,111.0,30.0,41.0,28.2,2.97
665,,,28,80.0,6.0,2.68,0.5,,112.0,30.0,50.0,30.2,2.9
666,,,90,80.0,6.0,2.68,0.5,0.67,104.0,30.0,50.0,29.9,3.54
667,,,90,80.0,9.0,2.68,0.5,0.67,112.0,30.0,48.0,32.0,3.42
668,,,90,80.0,12.0,2.68,0.5,0.67,114.0,30.0,50.0,33.0,3.18
669,,,90,80.0,15.0,2.68,0.5,0.67,115.0,30.0,40.0,37.9,3.15
670,,,90,80.0,18.0,2.68,0.5,0.67,117.0,30.0,44.0,37.1,3.21
671,,,90,80.0,15.0,2.68,0.5,0.67,110.0,30.0,36.0,34.8,3.18
672,,,90,80.0,15.0,2.68,0.5,0.67,108.0,30.0,49.0,34.2,2.69
673,,,90,80.0,9.0,2.68,0.5,,111.0,30.0,41.0,32.6,3.14
674,,,90,80.0,6.0,2.68,0.5,,112.0,30.0,50.0,39.6,3.11
675,52.9,8.4,7,80.0,15.0,2.8,0.5,0.67,104.0,30.0,44.0,20.4,1.61
676,52.9,8.4,7,80.0,15.0,2.8,0.5,0.67,108.0,30.0,49.0,19.9,1.57
677,52.9,8.4,7,80.0,15.0,2.8,0.5,0.67,110.0,30.0,36.0,19.2,1.53
678,52.9,8.4,7,80.0,15.0,2.8,0.5,0.67,114.0,30.0,45.0,18.4,1.5
679,52.9,8.4,7,80.0,15.0,2.8,0.5,0.67,115.0,30.0,40.0,18.4,1.5
680,52.9,8.4,28,80.0,15.0,2.8,0.5,0.67,104.0,30.0,44.0,29.7,3.04
681,52.9,8.4,28,80.0,15.0,2.8,0.5,0.67,108.0,30.0,49.0,29.7,3.02
682,52.9,8.4,28,80.0,15.0,2.8,0.5,0.67,110.0,30.0,36.0,28.5,2.91
683,52.9,8.4,28,80.0,15.0,2.8,0.5,0.67,114.0,30.0,45.0,27.4,2.84
684,52.9,8.4,28,80.0,15.0,2.8,0.5,0.67,115.0,30.0,40.0,27.1,2.75
685,52.9,8.4,90,80.0,15.0,2.8,0.5,0.67,104.0,30.0,44.0,40.9,3.43
686,52.9,8.4,90,80.0,15.0,2.8,0.5,0.67,108.0,30.0,49.0,40.2,3.37
687,52.9,8.4,90,80.0,15.0,2.8,0.5,0.67,110.0,30.0,36.0,39.4,3.26
688,52.9,8.4,90,80.0,15.0,2.8,0.5,0.67,114.0,30.0,45.0,38.3,3.19
689,52.9,8.4,90,80.0,15.0,2.8,0.5,0.67,115.0,30.0,40.0,37.5,3.15
690,39.42,,7,12.0,19.2,,0.37,0.65,178.75,53.0,,26.56,1.92
691,39.42,,28,12.0,19.2,,0.37,0.65,178.75,53.0,,33.12,2.34
692,39.42,,90,12.0,19.2,,0.37,0.65,178.75,53.0,,39.94,3.32
693,39.42,,7,12.0,19.2,,0.34,0.55,178.75,53.0,,32.17,2.67
694,39.42,,28,12.0,19.2,,0.34,0.55,178.75,53.0,,40.49,3.03
695,39.42,,90,12.0,19.2,,0.34,0.55,178.75,53.0,,49.7,3.68
696,48.07,,7,12.0,19.2,,0.34,0.55,178.75,53.0,,43.15,2.9
697,48.07,,28,12.0,19.2,,0.34,0.55,178.75,53.0,,49.26,3.12
698,48.07,,90,12.0,19.2,,0.34,0.55,178.75,53.0,,63.7,4.1
699,48.07,,7,12.0,19.2,,0.31,0.45,180.0,53.0,,55.85,3.85
700,48.07,,28,12.0,19.2,,0.31,0.45,180.0,53.0,,63.72,3.86
701,48.07,,90,12.0,19.2,,0.31,0.45,180.0,53.0,,79.17,4.19
702,39.42,,7,12.0,19.2,,0.4,0.65,178.75,54.0,145.0,28.0,2.22
703,39.42,,28,12.0,19.2,,0.4,0.65,178.75,54.0,145.0,35.47,3.34
704,39.42,,90,12.0,19.2,,0.4,0.65,178.75,54.0,145.0,44.25,3.47
705,39.42,,7,12.0,19.2,,0.36,0.55,178.75,54.0,135.0,33.42,2.31
706,39.42,,28,12.0,19.2,,0.36,0.55,178.75,54.0,135.0,41.43,3.52
707,39.42,,90,12.0,19.2,,0.36,0.55,178.75,54.0,135.0,52.35,3.98
708,48.07,,7,12.0,19.2,,0.36,0.55,178.75,54.0,140.0,42.97,3.61
709,48.07,,28,12.0,19.2,,0.36,0.55,178.75,54.0,140.0,46.85,4.25
710,48.07,,90,12.0,19.2,,0.36,0.55,178.75,54.0,140.0,60.65,4.59
711,48.07,,7,12.0,19.2,,0.32,0.45,180.0,54.0,140.0,47.71,3.75
712,48.07,,28,12.0,19.2,,0.32,0.45,180.0,54.0,140.0,65.37,4.69
713,48.07,,90,12.0,19.2,,0.32,0.45,180.0,54.0,140.0,73.7,4.76
