,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
79,46.8,8.0,238,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,67.8,4.09
80,46.8,8.0,238,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,68.7,4.24
81,46.8,8.0,268,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,65.4,4.19
82,46.8,8.0,268,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,68.3,4.29
83,46.8,8.0,268,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,69.2,4.25
84,46.8,8.0,298,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.1,4.21
85,46.8,8.0,298,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,70.8,4.04
86,46.8,8.0,298,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,71.2,4.35
87,46.8,8.0,328,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.6,4.43
88,46.8,8.0,328,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.1,4.11
89,46.8,8.0,328,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,71.4,4.3
90,46.8,8.0,358,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.8,4.45
91,46.8,8.0,358,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.5,4.22
92,46.8,8.0,358,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,72.0,4.35
93,46.8,8.0,388,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,68.2,4.52
94,46.8,8.0,388,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.9,4.31
95,46.8,8.0,388,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,72.4,4.41
96,46.8,8.0,3,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,42.7,2.96
97,46.8,8.0,3,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,39.7,2.64
98,46.8,8.0,3,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,34.0,2.39
99,46.8,8.0,7,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,49.4,3.08
100,46.8,8.0,7,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,49.7,3.39
101,46.8,8.0,7,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,43.6,3.11
102,46.8,8.0,14,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,51.9,3.41
103,46.8,8.0,14,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,51.4,3.45
104,46.8,8.0,14,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,43.8,3.45
105,46.8,8.0,28,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,52.9,3.67
106,46.8,8.0,28,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,61.7,3.52
107,46.8,8.0,28,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,57.7,3.75
108,46.8,8.0,42,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,64.0,3.94
109,46.8,8.0,42,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,62.5,3.81
110,46.8,8.0,42,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,60.6,3.79
111,46.8,8.0,56,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,65.0,3.97
112,46.8,8.0,56,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,64.0,4.03
113,46.8,8.0,56,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,61.2,3.99
114,46.8,8.0,84,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,66.9,4.02
115,46.8,8.0,84,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,64.6,4.42
116,46.8,8.0,84,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,63.0,4.35
117,46.8,8.0,118,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,67.3,4.37
118,46.8,8.0,118,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,65.0,4.47
119,46.8,8.0,118,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,64.0,4.03
120,46.8,8.0,178,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,68.0,4.68
121,46.8,8.0,178,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,69.6,4.33
122,46.8,8.0,178,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,67.8,3.99
123,46.8,8.0,238,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,73.0,4.55
124,46.8,8.0,238,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,71.0,4.02
125,46.8,8.0,238,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,68.0,4.05
126,46.8,8.0,298,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,74.1,4.59
127,46.8,8.0,298,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,77.9,4.11
128,46.8,8.0,298,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,70.6,4.18
129,46.8,8.0,358,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,74.6,4.51
130,46.8,8.0,358,31.5,9.0,3.27,0.4,0.4,185.0,34.0,60.0,78.2,4.24
131,46.8,8.0,358,31.5,13.0,2.77,0.4,0.4,185.0,34.0,50.0,73.1,4.34
132,38.2,6.9,28,25.0,3.0,3.19,0.47,0.47,190.0,36.0,22.0,47.1,2.95
133,38.2,6.9,28,25.0,5.0,3.19,0.47,0.47,190.0,36.0,16.0,40.7,3.16
134,38.2,6.9,28,25.0,7.0,3.19,0.47,0.47,190.0,36.0,28.0,44.3,3.44
135,38.2,6.9,28,25.0,10.0,3.19,0.47,0.47,190.0,36.0,11.0,45.9,3.57
136,38.2,6.9,28,25.0,13.0,3.19,0.47,0.47,190.0,36.0,17.0,43.4,3.6
137,38.2,6.9,28,25.0,16.0,3.19,0.47,0.47,190.0,36.0,12.0,44.3,3.58
138,47.7,8.7,28,25.0,3.0,3.19,0.32,0.32,170.0,30.0,20.0,69.6,4.0
139,47.7,8.7,28,25.0,5.0,3.19,0.32,0.32,170.0,30.0,11.0,71.6,4.1
140,47.7,8.7,28,25.0,7.0,3.19,0.32,0.32,170.0,30.0,13.0,74.7,4.34
141,47.7,8.7,28,25.0,10.0,3.19,0.32,0.32,170.0,30.0,35.0,69.8,3.9
142,47.7,8.7,28,25.0,13.0,3.19,0.32,0.32,170.0,30.0,20.0,69.8,4.37
143,47.7,8.7,28,25.0,16.0,3.19,0.32,0.32,170.0,30.0,18.0,70.1,4.2
144,47.7,8.7,28,25.0,5.0,3.19,0.44,0.44,180.0,32.0,85.0,57.0,3.68
145,47.7,8.7,28,25.0,7.0,3.19,0.44,0.44,180.0,32.0,108.0,59.6,3.91
146,47.7,8.7,28,25.0,10.0,3.19,0.44,0.44,180.0,32.0,75.0,56.7,4.11
147,47.7,8.7,28,25.0,13.0,3.19,0.44,0.44,180.0,32.0,80.0,57.0,3.42
148,47.7,8.7,28,25.0,16.0,3.19,0.44,0.44,180.0,32.0,60.0,56.2,2.86
149,46.3,8.4,28,25.0,5.0,3.19,0.56,0.56,170.0,42.0,135.0,42.9,3.34
150,46.3,8.4,28,25.0,9.0,3.19,0.56,0.56,170.0,42.0,80.0,43.8,3.31
151,46.3,8.4,28,25.0,13.0,3.19,0.56,0.56,170.0,42.0,50.0,43.9,2.76
152,46.3,8.4,28,25.0,5.0,3.19,0.45,0.45,185.0,34.0,70.0,48.7,3.11
153,46.3,8.4,28,25.0,9.0,3.19,0.45,0.45,185.0,34.0,160.0,50.1,3.51
154,46.3,8.4,28,25.0,13.0,3.19,0.45,0.45,185.0,34.0,100.0,56.3,4.61
155,46.3,8.4,28,25.0,5.0,3.19,0.4,0.4,190.0,32.0,150.0,55.6,4.19
156,46.3,8.4,28,25.0,9.0,3.19,0.4,0.4,190.0,32.0,170.0,60.7,4.33
157,46.3,8.4,28,25.0,13.0,3.19,0.4,0.4,190.0,32.0,175.0,57.2,2.45
158,46.3,8.4,28,25.0,5.0,3.19,0.32,0.32,175.0,28.0,50.0,70.9,3.95
159,46.3,8.4,28,25.0,9.0,3.19,0.32,0.32,175.0,28.0,110.0,68.1,4.23
160,46.3,8.4,28,25.0,13.0,3.19,0.32,0.32,175.0,28.0,100.0,66.7,5.45
161,38.2,6.9,28,26.5,3.0,3.23,0.47,0.47,190.0,36.0,12.0,40.3,3.32
162,38.2,6.9,28,26.5,7.0,3.23,0.47,0.47,190.0,36.0,19.0,38.7,3.14
163,38.2,6.9,28,26.5,13.0,3.23,0.47,0.47,190.0,36.0,15.0,40.7,2.96
164,47.7,8.7,28,26.5,3.0,3.23,0.44,0.44,180.0,32.0,75.0,50.4,3.65
165,47.7,8.7,28,26.5,7.0,3.23,0.44,0.44,180.0,32.0,83.0,50.3,3.88
166,47.7,8.7,28,26.5,13.0,3.23,0.44,0.44,180.0,32.0,60.0,55.4,4.08
167,47.7,8.7,28,26.5,3.0,3.23,0.32,0.32,170.0,30.0,11.0,62.6,4.57
168,47.7,8.7,28,26.5,7.0,3.23,0.32,0.32,170.0,30.0,15.0,63.1,5.16
169,47.7,8.7,28,26.5,13.0,3.23,0.32,0.32,170.0,30.0,18.0,59.9,5.32
170,48.2,8.4,28,26.5,5.0,3.23,0.55,0.55,160.0,38.0,115.0,43.4,2.96
171,48.2,8.4,28,26.5,9.0,3.23,0.55,0.55,160.0,38.0,125.0,44.2,3.45
172,48.2,8.4,28,26.5,13.0,3.23,0.55,0.55,160.0,38.0,22.0,43.2,3.2
173,48.2,8.4,28,26.5,5.0,3.23,0.44,0.44,170.0,34.0,30.0,55.0,3.3
