Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
46.8,8.0,56.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,65.0,3.97
46.8,8.0,56.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,64.0,4.03
46.8,8.0,56.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,61.2,3.99
46.8,8.0,84.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,66.9,4.02
46.8,8.0,84.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,64.6,4.42
46.8,8.0,84.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,63.0,4.35
46.8,8.0,118.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,67.3,4.37
46.8,8.0,118.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,65.0,4.47
46.8,8.0,118.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,64.0,4.03
46.8,8.0,178.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,68.0,4.68
46.8,8.0,178.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,69.6,4.33
46.8,8.0,178.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,67.8,3.99
46.8,8.0,238.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,73.0,4.55
46.8,8.0,238.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,71.0,4.02
46.8,8.0,238.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,68.0,4.05
46.8,8.0,298.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,74.1,4.59
46.8,8.0,298.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,77.9,4.11
46.8,8.0,298.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,70.6,4.18
46.8,8.0,358.0,31.5,5.0,3.34,0.4,0.4,185.0,34.0,74.6,4.51
46.8,8.0,358.0,31.5,9.0,3.27,0.4,0.4,185.0,34.0,78.2,4.24
46.8,8.0,358.0,31.5,13.0,2.77,0.4,0.4,185.0,34.0,73.1,4.34
38.2,6.9,28.0,25.0,3.0,3.19,0.47,0.47,190.0,36.0,47.1,2.95
38.2,6.9,28.0,25.0,5.0,3.19,0.47,0.47,190.0,36.0,40.7,3.16
38.2,6.9,28.0,25.0,7.0,3.19,0.47,0.47,190.0,36.0,44.3,3.44
38.2,6.9,28.0,25.0,10.0,3.19,0.47,0.47,190.0,36.0,45.9,3.57
38.2,6.9,28.0,25.0,13.0,3.19,0.47,0.47,190.0,36.0,43.4,3.6
38.2,6.9,28.0,25.0,16.0,3.19,0.47,0.47,190.0,36.0,44.3,3.58
47.7,8.7,28.0,25.0,3.0,3.19,0.32,0.32,170.0,30.0,69.6,4.0
47.7,8.7,28.0,25.0,5.0,3.19,0.32,0.32,170.0,30.0,71.6,4.1
47.7,8.7,28.0,25.0,7.0,3.19,0.32,0.32,170.0,30.0,74.7,4.34
47.7,8.7,28.0,25.0,10.0,3.19,0.32,0.32,170.0,30.0,69.8,3.9
47.7,8.7,28.0,25.0,13.0,3.19,0.32,0.32,170.0,30.0,69.8,4.37
47.7,8.7,28.0,25.0,16.0,3.19,0.32,0.32,170.0,30.0,70.1,4.2
47.7,8.7,28.0,25.0,5.0,3.19,0.44,0.44,180.0,32.0,57.0,3.68
47.7,8.7,28.0,25.0,7.0,3.19,0.44,0.44,180.0,32.0,59.6,3.91
47.7,8.7,28.0,25.0,10.0,3.19,0.44,0.44,180.0,32.0,56.7,4.11
47.7,8.7,28.0,25.0,13.0,3.19,0.44,0.44,180.0,32.0,57.0,3.42
47.7,8.7,28.0,25.0,16.0,3.19,0.44,0.44,180.0,32.0,56.2,2.86
46.3,8.4,28.0,25.0,5.0,3.19,0.56,0.56,170.0,42.0,42.9,3.34
46.3,8.4,28.0,25.0,9.0,3.19,0.56,0.56,170.0,42.0,43.8,3.31
46.3,8.4,28.0,25.0,13.0,3.19,0.56,0.56,170.0,42.0,43.9,2.76
46.3,8.4,28.0,25.0,5.0,3.19,0.45,0.45,185.0,34.0,48.7,3.11
46.3,8.4,28.0,25.0,9.0,3.19,0.45,0.45,185.0,34.0,50.1,3.51
46.3,8.4,28.0,25.0,13.0,3.19,0.45,0.45,185.0,34.0,56.3,4.61
46.3,8.4,28.0,25.0,5.0,3.19,0.4,0.4,190.0,32.0,55.6,4.19
46.3,8.4,28.0,25.0,9.0,3.19,0.4,0.4,190.0,32.0,60.7,4.33
46.3,8.4,28.0,25.0,13.0,3.19,0.4,0.4,190.0,32.0,57.2,2.45
46.3,8.4,28.0,25.0,5.0,3.19,0.32,0.32,175.0,28.0,70.9,3.95
46.3,8.4,28.0,25.0,9.0,3.19,0.32,0.32,175.0,28.0,68.1,4.23
46.3,8.4,28.0,25.0,13.0,3.19,0.32,0.32,175.0,28.0,66.7,5.45
38.2,6.9,28.0,26.5,3.0,3.23,0.47,0.47,190.0,36.0,40.3,3.32
38.2,6.9,28.0,26.5,7.0,3.23,0.47,0.47,190.0,36.0,38.7,3.14
38.2,6.9,28.0,26.5,13.0,3.23,0.47,0.47,190.0,36.0,40.7,2.96
47.7,8.7,28.0,26.5,3.0,3.23,0.44,0.44,180.0,32.0,50.4,3.65
47.7,8.7,28.0,26.5,7.0,3.23,0.44,0.44,180.0,32.0,50.3,3.88
47.7,8.7,28.0,26.5,13.0,3.23,0.44,0.44,180.0,32.0,55.4,4.08
